,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
1727,48,307,"McCulloch County, Texas",0,6.5,80.9,10.3,72.7,5.9,78.0
1728,48,309,"McLennan County, Texas",0,9.2,85.7,12.9,89.4,6.0,75.4
1729,48,313,"Madison County, Texas",0,4.3,84.8,9.2,79.0,6.4,78.5
1730,48,315,"Marion County, Texas",0,3.5,90.0,11.7,70.3,5.6,81.8
1731,48,319,"Mason County, Texas",0,10.8,85.5,4.1,60.5,4.7,76.1
1732,48,321,"Matagorda County, Texas",0,6.6,82.6,13.6,70.5,6.3,74.1
1733,48,325,"Medina County, Texas",0,7.7,86.6,9.7,85.4,4.9,77.0
1734,48,327,"Menard County, Texas",0,11.6,69.2,12.6,56.7,7.9,82.1
1735,48,331,"Milam County, Texas",0,4.7,84.3,13.3,82.4,3.3,75.8
1736,48,333,"Mills County, Texas",0,5.7,79.4,8.9,60.1,1.6,82.1
1737,48,337,"Montague County, Texas",0,5.2,84.8,10.6,77.5,3.9,77.5
